Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
APOL1_mrna	APOL1	mrna	DTX3L_prot	1
APOO_mrna	APOO	mrna	JUND_prot	1
APPL1_mrna	APPL1	mrna	JUND_prot	1
APPL1_prot	APPL1	prot	AKT1_prot;APPL2_prot;AR_prot;DNM2_prot;HDAC1_prot;HDAC2_prot;HDAC3_prot;HDAC5_prot;MTA2_prot;RBBP4_prot;RBBP7_prot;RUVBL2_prot	12
APPL2_mrna	APPL2	mrna	KLC3_prot	1
APPL2_prot	APPL2	prot	GALNT14_mrna;KLC3_mrna;APPL1_prot;MTA2_prot;RBBP7_prot;RUVBL2_prot	6
APP_mrna	APP	mrna	JUN_prot;TBP_prot;TFAP2A_prot;USF2_prot	4
APRT_mrna	APRT	mrna	AAAS_prot;CTNND1_prot;JUND_prot;MTX1_prot;NLE1_prot;RAD21_prot;RUVBL2_prot;RXRA_prot;SSRP1_prot;TRMT1_prot	10
AQP1_mrna	AQP1	mrna	BUB3_prot;CCNB1_prot;ECT2_prot;ENPEP_prot;FGD5_prot;GTF2E2_prot;RAE1_prot;RNGTT_prot;TFDP1_prot;TP53_prot;VWF_prot;ZBTB20_prot	12
AQR_mrna	AQR	mrna	MAZ_prot;PPWD1_prot;SP3_prot	3
ARAF_mrna	ARAF	mrna	STAT5A_prot	1
ARC_mrna	ARC	mrna	EP300_prot	1
AREG_mrna	AREG	mrna	AR_prot;CREB1_prot;RELA_prot;SMAD4_prot	4
ARFGAP2_mrna	ARFGAP2	mrna	RAD21_prot;ZNF143_prot;ZNF638_prot	3
ARFGEF1_mrna	ARFGEF1	mrna	CANX_prot;DDX42_prot;IGHMBP2_prot;KBTBD2_prot;MTMR3_prot;NCOR1_prot;SOS2_prot;ZNF146_prot	8
ARFRP1_mrna	ARFRP1	mrna	NSMAF_prot;SMC3_prot	2
ARG1_mrna	ARG1	mrna	AR_prot;CREB1_prot	2
ARHGAP1_mrna	ARHGAP1	mrna	IGHMBP2_prot;RBPMS_prot	2
ARHGAP25_prot	ARHGAP25	prot	ADAM8_mrna;BIN2_mrna;CAP2_mrna;CD52_mrna;CFL2_mrna;CNR2_mrna;DNAH7_mrna;E2F4_mrna;GCNT2_mrna;MFSD1_mrna;NCF1_mrna;NCF4_mrna;PSEN1_mrna;SIGLEC6_mrna;WNT6_mrna;ZNF23_mrna	16
ARHGAP29_mrna	ARHGAP29	mrna	SMC3_prot	1
ARHGAP30_mrna	ARHGAP30	mrna	ADARB1_prot;APBB1IP_prot;BRD4_prot;DDX51_prot;E2F4_prot;EZH2_prot;GAB2_prot;H1FX_prot;IGHMBP2_prot;LPXN_prot;PLEK_prot;PQBP1_prot;TOX4_prot;TTC13_prot;ZBP1_prot	15
ARHGAP40_mrna	ARHGAP40	mrna	RAD21_prot	1
ARHGAP6_mrna	ARHGAP6	mrna	IFT80_prot	1
